Fighter1,Fighter2,F1 Winner?,F2 Winner?,Fight Method,Rounds,Round,Time,Time Format,Referee,Finish Details or Judges Scorecard,Bout,Non-Sig. Strike Landed R1  Disp.,Non-Sig. Strike Missed R1  Disp.,Sig. Strike Landed R1  Disp.,Sig. Strike Missed R1  Disp.,Head R1  Disp.,Body R1  Disp.,Leg R1  Disp.,Distance R1  Disp.,Clinch R1  Disp.,Ground R1  Disp.,Knockdowns R1  Disp.,TD Completed R1  Disp.,TD Missed R1  Disp.,Sub. Att R1  Disp.,Rev. R1  Disp.,Ctrl Time (Minutes) R1  Disp.,Non-Sig. Strike Landed R2  Disp.,Non-Sig. Strike Missed R2  Disp.,Sig. Strike Landed R2  Disp.,Sig. Strike Missed R2  Disp.,Head R2  Disp.,Body R2  Disp.,Leg R2  Disp.,Distance R2  Disp.,Clinch R2  Disp.,Ground R2  Disp.,Knockdowns R2  Disp.,TD Completed R2  Disp.,TD Missed R2  Disp.,Sub. Att R2  Disp.,Rev. R2  Disp.,Ctrl Time (Minutes) R2  Disp.,Non-Sig. Strike Landed R3  Disp.,Non-Sig. Strike Missed R3  Disp.,Sig. Strike Landed R3  Disp.,Sig. Strike Missed R3  Disp.,Head R3  Disp.,Body R3  Disp.,Leg R3  Disp.,Distance R3  Disp.,Clinch R3  Disp.,Ground R3  Disp.,Knockdowns R3  Disp.,TD Completed R3  Disp.,TD Missed R3  Disp.,Sub. Att R3  Disp.,Rev. R3  Disp.,Ctrl Time (Minutes) R3  Disp.,Non-Sig. Strike Landed R4  Disp.,Non-Sig. Strike Missed R4  Disp.,Sig. Strike Landed R4  Disp.,Sig. Strike Missed R4  Disp.,Head R4  Disp.,Body R4  Disp.,Leg R4  Disp.,Distance R4  Disp.,Clinch R4  Disp.,Ground R4  Disp.,Knockdowns R4  Disp.,TD Completed R4  Disp.,TD Missed R4  Disp.,Sub. Att R4  Disp.,Rev. R4  Disp.,Ctrl Time (Minutes) R4  Disp.,Non-Sig. Strike Landed R5  Disp.,Non-Sig. Strike Missed R5  Disp.,Sig. Strike Landed R5  Disp.,Sig. Strike Missed R5  Disp.,Head R5  Disp.,Body R5  Disp.,Leg R5  Disp.,Distance R5  Disp.,Clinch R5  Disp.,Ground R5  Disp.,Knockdowns R5  Disp.,TD Completed R5  Disp.,TD Missed R5  Disp.,Sub. Att R5  Disp.,Rev. R5  Disp.,Ctrl Time (Minutes) R5  Disp.
Max Holloway,Frankie Edgar,1,0,Decision - Unanimous,5,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Chris Lee 45 - 50. Dave Hagen 46 - 49. Tony Weeks 47 - 48.,UFC Featherweight Title Bout,0,0,-5,0,-1,1,-5,-5,0,0,0,0,-1,0,0,0,0,0,14,0,14,4,-4,14,0,0,0,0,-2,0,0,-0.083333333,0,0,13,0,12,2,-1,7,6,0,0,-1,-3,0,0,-0.983333333,2,0,-1,3,-2,1,0,-1,0,0,0,0,0,0,0,0,0,0,4,9,14,-4,-6,4,0,0,0,0,-2,0,0,-0.216666667
Rafael Dos Anjos,Leon Edwards,0,1,Decision - Unanimous,5,5,5:00,5 Rnd (5-5-5-5-5),Dan Miragliotta,Gino Garcia 45 - 50. Perry Hillin 46 - 49. Marcos Rosales 46 - 49.,Welterweight Bout,6,-5,2,-5,-2,0,4,5,-1,-2,0,-1,-1,0,0,-3.116666667,10,0,-1,-17,-8,2,5,0,-1,0,0,0,0,0,0,1.05,8,-1,-14,-13,-11,-5,2,-6,-8,0,0,0,3,0,0,-0.7,-2,1,5,12,2,2,1,5,0,0,0,0,0,0,0,-0.116666667,4,0,4,-1,-1,2,3,6,-1,-1,0,-1,-4,0,0,-1.2
Jon Jones,Thiago Santos,1,0,Decision - Split,5,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Mike Bell 47 - 48. Junichiro Kamijo 48 - 47. Derek Cleary 47 - 48.,UFC Light Heavyweight Title Bout,0,0,-4,-6,-3,2,-3,-4,0,0,0,0,1,0,0,0,0,0,4,-29,1,2,1,4,0,0,0,0,0,0,0,0,0,0,8,-22,3,3,2,5,3,0,0,0,0,0,0,0,0,0,-5,1,-1,-1,-3,-5,0,0,0,0,0,0,0,0,0,0,5,-21,-1,1,5,5,0,0,0,0,0,0,0,0
Al Iaquinta,Donald Cerrone,0,1,Decision - Unanimous,5,5,5:00,5 Rnd (5-5-5-5-5),Jerin Valel,Dave Tirelli 46 - 49. Jason Rodgers 45 - 49. Eric Colon 45 - 49.,Lightweight Bout,0,0,-1,14,-2,3,-2,-1,0,0,0,0,1,0,0,0,0,0,3,-12,0,2,1,3,0,0,0,0,0,0,0,0,-1,0,-10,-29,-6,-1,-3,-7,0,-3,-1,0,1,0,0,-0.166666667,0,0,-11,-16,-7,-1,-3,-11,0,0,0,0,-1,0,0,0,0,0,-23,-28,-19,2,-6,-22,0,-1,0,0,2,0,0,-0.05
Jacare Souza,Jack Hermansson,0,1,Decision - Unanimous,5,5,5:00,5 Rnd (5-5-5-5-5),Dan Miragliotta,Chris Lee 47 - 48. Derek Cleary 46 - 49. Sal D'amato 47 - 48.,Middleweight Bout,16,0,-19,-8,-4,-8,-7,-13,-6,0,0,0,0,-1,0,-1.033333333,-96,-16,-1,-12,1,0,-2,2,0,-3,0,-1,0,0,0,-3.983333333,0,0,2,-33,7,4,-9,1,1,0,0,0,-3,0,0,-0.1,-3,0,-7,-9,0,-7,0,-5,-2,0,0,0,-1,0,0,0,-1,0,-9,-34,-10,2,-1,-7,-2,0,0,-2,0,0,0,-0.733333333
Max Holloway,Dustin Poirier,0,1,Decision - Unanimous,5,5,5:00,5 Rnd (5-5-5-5-5),Blake Grice,Sal D'amato 46 - 49. Mike Bell 46 - 49. Derek Cleary 46 - 49.,UFC Interim Lightweight Title Bout,0,0,-24,-19,-18,-4,-2,-15,-9,0,0,0,-1,0,0,0,0,0,1,14,-9,11,-1,1,0,0,0,0,-1,0,0,0,8,0,20,23,17,4,-1,13,7,0,0,0,-2,0,0,-0.883333333,7,0,18,-14,15,3,0,16,2,0,0,0,0,1,0,0,6,0,-2,27,-5,4,-1,-4,2,0,0,0,0,0,0,-1.15
Kelvin Gastelum,Israel Adesanya,0,1,Decision - Unanimous,5,5,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,Mike Bell 46 - 48. Anthony Maness 46 - 48. Ken Coffey 46 - 48.,UFC Interim Middleweight Title Bout,0,0,2,-1,4,0,-2,2,0,0,0,0,0,0,0,0,-1,0,-9,-9,2,-4,-7,-8,0,-1,-1,0,2,0,0,-0.116666667,-1,0,-4,-2,0,-2,-2,-4,0,0,0,1,1,0,0,0.166666667,1,1,17,13,13,3,1,17,0,0,0,0,-1,0,-1,-0.25,-6,0,-22,4,-21,0,-1,-15,0,-7,-3,0,3,-2,1,0.133333333
Jon Jones,Anthony Smith,1,0,Decision - Unanimous,5,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Sal D'amato 44 - 48. Chris Lee 44 - 48. Junichiro Kamijo 44 - 48.,UFC Light Heavyweight Title Bout,3,0,1,3,0,2,-1,2,-1,0,0,0,1,0,0,0.666666667,5,0,16,4,-2,4,14,14,2,0,0,0,1,0,0,0.75,27,0,25,2,4,8,13,4,15,6,0,1,1,0,0,4.35,-42,-1,15,-5,16,6,-7,0,-9,24,0,2,-2,0,0,0.083333333,54,4,13,-1,3,3,7,4,9,0,0,0,2,0,0,3.566666667
Tyron Woodley,Kamaru Usman,0,1,Decision - Unanimous,5,5,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,Dave Hagen 44 - 50. Mike Bell 44 - 50. Derek Cleary 45 - 50.,UFC Welterweight Title Bout,-35,0,-14,-7,-3,-10,-1,-2,-10,-2,0,0,-2,0,0,-2.883333333,-49,0,-20,-6,-16,-5,1,-2,-7,-11,0,-1,0,0,0,-4.383333333,-25,0,-31,-9,-1,-32,2,2,-33,0,0,0,0,0,0,-2.85,3,1,9,5,7,1,1,3,6,0,0,0,0,0,0,0,-46,0,-14,0,-4,-10,0,0,0,-14,0,-1,-1,0,0,-4.666666667
Kevin Lee,Al Iaquinta,0,1,Decision - Unanimous,5,5,5:00,5 Rnd (5-5-5-5-5),Keith Peterson,Sal D'amato 47 - 48. Brian Puccillo 47 - 48. Chris Lee 46 - 49.,Lightweight Bout,0,0,3,32,5,-1,-1,3,0,0,0,0,-6,0,0,0,9,3,16,18,17,-1,0,-2,0,18,0,1,1,0,0,1.733333333,8,1,-6,12,-7,0,1,-8,1,1,0,2,-1,0,0,2.45,0,0,-1,17,-3,2,0,-1,0,0,0,0,-1,0,0,-1.233333333,0,0,-15,7,-14,-2,1,-15,0,0,0,0,1,0,0,1
Valentina Shevchenko,Joanna Jedrzejczyk,1,0,Decision - Unanimous,5,5,5:00,5 Rnd (5-5-5-5-5),Todd Ronald Anderson,Benoit Roussel 46 - 49. Eric Colon 46 - 49. Jason Rodgers 46 - 49.,UFC Women's Flyweight Title Bout,0,0,-4,-15,6,-10,0,1,-6,1,0,1,3,0,0,2.233333333,9,1,11,-22,15,-2,-2,2,2,7,0,3,0,0,0,1.7,-3,0,3,-21,6,-2,-1,0,3,0,0,0,4,0,0,0.366666667,-1,0,-2,-21,-2,-3,3,0,-2,0,0,1,0,0,0,0.783333333,-23,-2,0,-3,4,-5,1,1,-1,0,0,0,1,0,0,1.516666667
Rafael Dos Anjos,Kamaru Usman,0,1,Decision - Unanimous,5,5,5:00,5 Rnd (5-5-5-5-5),Yves Lavigne,Junichiro Kamijo 43 - 50. Dave Hagen 45 - 49. Chris Lee 47 - 48.,Welterweight Bout,-13,-2,0,-6,-1,-2,3,2,1,-3,0,-2,-2,0,0,-3.516666667,-14,-1,-1,-9,-7,3,3,4,-4,-1,0,-1,-1,2,1,-3.933333333,-11,-1,-5,2,-9,-1,5,-2,-1,-2,0,-4,0,0,0,-2.6,-1,0,-1,12,1,-3,1,4,-4,-1,0,0,0,0,0,0,-33,-5,-27,-16,-23,-4,0,-5,-5,-17,0,-2,-2,0,0,-4.516666667
Demetrious Johnson,Henry Cejudo,0,1,Decision - Split,5,5,5:00,5 Rnd (5-5-5-5-5),Mike Beltran,Ron McCarthy 47 - 48. Marcos Rosales 48 - 47. Sal D'amato 47 - 48.,UFC Flyweight Title Bout,0,0,17,-14,1,4,12,19,-2,0,0,0,-1,0,0,0,7,-1,4,-8,-1,0,5,5,-1,0,0,-1,0,0,0,-1.483333333,10,0,10,-12,-1,3,8,9,0,1,0,1,-3,0,0,0.3,5,0,-7,-2,-3,-2,-2,-6,-1,0,0,0,0,0,0,-0.15,-2,-1,-1,-8,-3,-4,6,5,-6,0,0,-1,-3,0,0,-0.616666667
Junior Dos Santos,Blagoy Ivanov,1,0,Decision - Unanimous,5,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Dave Hagen 45 - 50. Tim Turner 45 - 50. Tony Weeks 45 - 50.,Heavyweight Bout,0,0,3,-1,-2,4,1,3,0,0,0,0,0,0,0,0,0,0,20,-10,13,7,0,20,0,0,0,0,0,0,0,0,0,0,11,-8,10,1,0,11,0,0,0,0,0,0,0,-0.016666667,0,0,-17,7,-8,-8,-1,-17,0,0,0,0,1,0,0,0,0,0,20,-14,6,13,1,22,-2,0,0,0,0,0,0,-0.033333333
Brad Tavares,Israel Adesanya,0,1,Decision - Unanimous,5,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Chris Lee 46 - 49. Derek Cleary 45 - 50. Sal D'amato 45 - 50.,Middleweight Bout,2,0,-5,6,4,-3,-6,-5,-1,1,0,0,1,0,0,0.433333333,0,0,-17,-2,-7,-5,-5,-16,-1,0,0,0,1,0,0,0.016666667,0,0,-18,22,-4,-5,-9,-14,-4,0,0,0,0,0,0,0.216666667,3,1,2,0,4,-2,0,0,1,1,0,1,-5,0,0,1.2,-3,0,-19,1,-11,0,-8,-14,0,-5,0,0,6,-1,0,-1.35
Donald Cerrone,Leon Edwards,0,1,Decision - Unanimous,5,5,5:00,5 Rnd (5-5-5-5-5),Leon Roberts,Howie Booth 47 - 48. Evan Field 47 - 48. Charlie Keech 47 - 48.,Welterweight Bout,0,-1,-4,-2,-7,3,0,3,-7,0,0,0,-1,0,0,-0.75,-8,1,-4,-2,-3,0,-1,-1,-3,0,0,0,1,0,0,0.683333333,0,0,-4,3,-3,1,-2,-3,-1,0,0,0,3,0,0,0.183333333,-1,0,-1,-1,-2,1,0,1,-1,-1,0,-1,2,0,0,0.1,0,0,-7,-4,0,3,-10,-9,1,1,0,1,0,0,0,0.85
Robert Whittaker,Yoel Romero,1,0,Decision - Split,5,5,5:00,5 Rnd (5-5-5-5-5),Dan Miragliotta,Brian Puccillo 47 - 48. Sal D'amato 48 - 47. Chris Lee 47 - 48.,Middleweight Bout,0,0,24,37,9,0,15,24,0,0,0,0,0,0,0,0,0,0,9,20,6,2,1,9,0,0,0,0,-1,0,0,0,-17,-2,-18,-17,-23,2,3,2,-14,-6,-1,-2,-4,0,0,-1.566666667,0,1,20,44,11,4,5,20,0,0,0,0,-1,0,0,0,-20,-7,-12,-6,-13,-3,4,4,-2,-14,-1,-1,-1,0,0,-2.166666667
Rafael Dos Anjos,Colby Covington,0,1,Decision - Unanimous,5,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Sal D'amato 46 - 49. Kelvin Caldwell 47 - 48. Mike Bell 47 - 48.,UFC Interim Welterweight Title Bout,-1,-2,10,-25,3,11,-4,1,9,0,0,-2,-2,0,0,-2.7,-6,-4,-1,-21,-6,9,-4,-5,4,0,0,-2,-1,0,0,-3.166666667,-9,0,-7,-21,0,0,-7,-10,4,-1,0,0,-3,0,0,-3.033333333,-4,0,2,-6,-2,1,3,-3,2,3,0,3,-1,0,0,2.233333333,1,-1,-3,-15,-1,1,-3,-5,2,0,0,-2,-2,0,0,-2.816666667
Stephen Thompson,Darren Till,0,1,Decision - Unanimous,5,5,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,Mark Collett 47 - 48. Andy Roberts 46 - 49. Paul Sutherland 46 - 49.,Welterweight Bout,0,0,1,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,-3,6,-1,2,-4,-2,-1,0,0,0,0,0,0,0,0,0,-1,0,-4,3,0,-1,0,0,0,0,0,0,0,0,-1,0,5,-2,2,2,1,5,0,0,0,0,-1,0,0,0,-1,-1,-6,5,-4,-1,-1,-5,-1,0,-1,0,1,0,0,-0.1
Demian Maia,Kamaru Usman,0,1,Decision - Unanimous,5,5,5:00,5 Rnd (5-5-5-5-5),Leon Roberts,Chris Lee 45 - 50. Guilherme Bravo 46 - 49. Sal D'amato 46 - 49.,Welterweight Bout,4,0,-7,-10,-1,0,-6,-7,0,0,0,0,1,0,0,2.016666667,-3,0,-5,-24,-2,-1,-2,-4,0,-1,0,0,4,0,0,-0.633333333,-3,0,-9,-19,-5,-2,-2,-9,0,0,0,0,4,0,0,-0.433333333,0,0,-3,-11,-2,-1,0,-2,0,-1,0,0,0,0,0,0,-7,-3,-6,-9,-5,0,-1,-4,0,-2,0,0,3,0,0,-1.733333333
Khabib Nurmagomedov,Al Iaquinta,1,0,Decision - Unanimous,5,5,5:00,5 Rnd (5-5-5-5-5),Dan Miragliotta,Sal D'amato 43 - 50. Derek Cleary 44 - 50. Chris Lee 43 - 50.,UFC Lightweight Title Bout,22,9,13,3,12,1,0,1,0,12,0,3,3,0,0,3.983333333,4,0,16,9,17,0,-1,-1,0,17,0,2,1,0,0,3.983333333,0,0,30,21,27,1,2,30,0,0,0,0,1,0,0,0,-10,-1,5,22,2,2,1,10,0,-5,0,-1,0,-1,0,-2.583333333,10,1,14,9,19,-5,0,9,0,5,0,1,2,1,0,2.583333333
Rose Namajunas,Joanna Jedrzejczyk,1,0,Decision - Unanimous,5,5,5:00,5 Rnd (5-5-5-5-5),Keith Peterson,Dave Tirelli 46 - 49. Glenn Trowbridge 46 - 49. Chris Lee 46 - 49.,UFC Women's Strawweight Title Bout,0,0,-3,0,5,3,-11,-3,0,0,0,0,0,0,0,0.016666667,-2,0,-5,-10,12,-9,-8,4,-9,0,0,0,0,0,0,0.5,0,0,-11,3,2,-3,-10,-11,0,0,0,0,1,0,0,0,-3,0,-1,-7,-4,4,-1,-1,0,0,0,-1,0,0,0,-0.416666667,-10,-1,-5,-9,5,-3,-7,-4,-1,0,0,1,0,0,0,0.416666667
Lyoto Machida,Eryk Anders,1,0,Decision - Split,5,5,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,Guilherme Bravo 47 - 48. Marcos Rosales 48 - 47. Tony Weeks 46 - 49.,Middleweight Bout,-5,-3,13,7,2,0,11,7,-1,7,0,0,0,0,0,2.283333333,0,0,8,1,0,2,6,9,-1,0,0,0,-2,0,0,-0.483333333,-1,0,1,-1,1,-1,1,6,-5,0,0,-1,-2,0,0,-0.6,0,0,-3,-6,1,-1,-3,-4,1,0,0,0,0,0,0,0,-1,0,4,2,-2,3,3,4,0,0,0,-1,0,0,0,-0.283333333
Stipe Miocic,Francis Ngannou,1,0,Decision - Unanimous,5,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,David Ginsberg 44 - 50. Chris Lee 44 - 50. Doug Crosby 44 - 50.,UFC Heavyweight Title Bout,5,0,1,-38,-1,1,1,-1,0,2,0,2,3,0,0,1.95,12,1,13,-16,5,2,6,10,0,3,0,2,1,0,0,2.283333333,29,7,11,-3,7,0,4,3,2,6,0,1,1,0,0,3.8,53,9,11,1,13,1,-3,-5,-1,17,0,1,-2,0,0,2.283333333,8,0,6,-10,2,0,4,5,1,0,0,0,2,-1,0,2.366666667
Cristiane Justino,Holly Holm,1,0,Decision - Unanimous,5,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Derek Cleary 46 - 49. Dave Hagen 47 - 48. Chris Lee 47 - 48.,UFC Women's Featherweight Title Bout,4,0,11,-8,7,0,4,9,2,0,0,0,0,0,0,-1.116666667,1,0,17,-7,9,5,3,15,2,0,0,0,0,0,0,-1.15,1,0,16,-14,8,6,2,12,4,0,0,0,0,0,0,0.316666667,-2,0,-19,1,-10,-4,-5,-13,-6,0,0,0,0,0,0,-0.283333333,2,0,19,-29,8,5,6,12,7,0,0,0,0,0,0,-0.4
Robbie Lawler,Rafael Dos Anjos,0,1,Decision - Unanimous,5,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Derek Cleary 45 - 50. Sal D'amato 45 - 50. Jason Rodgers 45 - 50.,Welterweight Bout,-8,0,-5,-4,4,-1,-8,-3,-2,0,0,0,-1,0,0,0.65,0,0,-24,1,-16,-3,-5,-27,3,0,0,0,-1,0,0,0.55,-8,-1,-3,1,-11,9,-1,-2,9,-10,0,-1,0,0,0,0.033333333,-18,-4,0,8,0,0,0,0,0,0,0,0,0,0,0,0.233333333,18,4,-26,4,-10,-12,-4,-9,-17,0,0,-1,-2,0,0,-3.433333333
Nicco Montano,Roxanne Modafferi,1,0,Decision - Unanimous,5,5,5:00,5 Rnd (5-5-5-5-5),John McCarthy,Derek Cleary 45 - 50. Jeff Mullen 46 - 49. Junichiro Kamijo 46 - 49.,UFC Women's Flyweight Title Bout,-4,-1,4,8,2,-1,3,2,0,2,0,0,-1,0,0,0.633333333,17,4,20,-20,10,4,6,14,2,4,0,-1,0,1,0,-1.016666667,0,-1,15,-1,8,1,6,14,1,0,0,0,1,0,0,0.233333333,4,0,11,20,4,4,3,14,-2,-1,0,0,-1,0,-1,-1.366666667,9,1,3,2,2,-4,5,0,-1,4,0,1,-2,-1,1,2.516666667
Fabricio Werdum,Marcin Tybura,1,0,Decision - Unanimous,5,5,5:00,5 Rnd (5-5-5-5-5),Leon Roberts,Anthony Dimitriou 45 - 50. Kon Papaioannou 45 - 50. Charlie Keech 46 - 49.,Heavyweight Bout,1,0,3,1,5,1,-3,4,-1,0,0,0,4,0,0,0.75,-3,0,4,0,2,4,-2,5,-1,0,0,0,0,0,0,0,-1,0,19,-6,15,8,-4,15,4,0,0,0,1,0,0,0.466666667,22,0,-18,-20,-11,-5,-2,-24,3,3,0,1,1,0,0,2.516666667,-1,0,-4,-17,-7,5,-2,-5,1,0,0,0,0,0,0,0
Amanda Nunes,Valentina Shevchenko,1,0,Decision - Split,5,5,5:00,5 Rnd (5-5-5-5-5),John McCarthy,Sal D'amato 47 - 48. Tony Weeks 48 - 47. David Therien 47 - 48.,UFC Women's Bantamweight Title Bout,0,0,14,-2,3,1,10,14,0,0,0,1,0,0,0,0,0,0,4,-12,-2,2,4,5,-1,0,0,0,0,0,0,0,0,0,2,1,-2,1,3,2,0,0,0,0,0,0,0,0,-4,0,20,7,0,4,16,21,-1,0,0,-1,-6,0,0,-2.533333333,-9,-2,-10,-7,-5,-1,-4,-6,0,-4,0,1,5,0,0,2.533333333
Sergio Pettis,Brandon Moreno,1,0,Decision - Unanimous,5,5,5:00,5 Rnd (5-5-5-5-5),John McCarthy,Derek Cleary 46 - 49. Eric Colon 46 - 48. Jeff Mullen 46 - 48.,Flyweight Bout,-18,-5,-7,1,-5,0,-2,-3,0,-4,0,-1,0,0,0,-4.55,0,0,8,15,4,2,2,6,2,0,0,-1,-1,0,0,-0.3,0,0,12,20,15,-6,3,13,-1,0,0,0,-3,0,0,0.1,-5,0,11,29,6,2,3,13,0,-2,0,0,-1,0,0,-0.05,1,-1,6,0,5,2,-1,6,0,0,0,-1,1,0,0,-2.8
Tyron Woodley,Demian Maia,1,0,Decision - Unanimous,5,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Marcos Rosales 45 - 50. Sal D'amato 46 - 49. Wade Vierra 46 - 49.,UFC Welterweight Title Bout,0,0,3,9,2,1,0,3,0,0,0,0,-6,0,0,-0.616666667,0,0,10,5,5,3,2,10,0,0,1,0,-3,0,0,0.066666667,0,0,4,13,3,1,0,4,0,0,0,0,-2,0,0,0,0,0,5,8,5,0,0,6,-1,0,0,0,0,0,0,0,-1,0,2,4,0,2,0,3,-1,0,0,0,-7,0,0,-0.05
Yoel Romero,Robert Whittaker,0,1,Decision - Unanimous,5,5,5:00,5 Rnd (5-5-5-5-5),John McCarthy,Sal D'amato 47 - 48. Junichiro Kamijo 47 - 48. Jeff Mullen 47 - 48.,UFC Interim Middleweight Title Bout,2,0,5,-12,-2,1,6,4,1,0,0,1,3,0,0,0.883333333,39,-1,0,-10,2,-1,-1,0,-2,2,0,2,4,0,0,3.333333333,-2,0,-6,-31,-6,-1,1,-5,-1,0,0,0,3,0,0,-0.016666667,-19,-2,-11,-14,-8,-4,1,-13,0,2,0,1,2,0,0,1.033333333,6,0,-13,-23,-11,-4,2,-6,0,-7,0,0,1,0,0,-1.466666667
Joanna Jedrzejczyk,Jessica Andrade,1,0,Decision - Unanimous,5,5,5:00,5 Rnd (5-5-5-5-5),Jacob Montalvo,Jeff Mullen 45 - 50. Sal D'amato 44 - 50. Troy Wincapaw 45 - 50.,UFC Women's Strawweight Title Bout,-4,0,30,0,6,8,16,21,9,0,0,-1,-2,0,0,-1.35,2,0,31,-7,9,6,16,30,1,0,0,-1,-2,0,0,-0.35,-2,0,34,-5,12,8,14,34,0,0,0,0,-3,0,0,-0.5,3,0,-3,-9,-11,-1,9,-2,-1,0,0,0,0,0,0,-0.166666667,-2,0,17,-8,10,6,1,20,-3,0,0,0,0,0,0,0.016666667
Cub Swanson,Artem Lobov,1,0,Decision - Unanimous,5,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Derek Cleary 46 - 49. Chris Lee 46 - 49. Jeff Mullen 45 - 50.,Featherweight Bout,-2,-1,-6,-6,-3,1,-4,-6,1,-1,0,-1,1,0,0,-0.716666667,6,3,15,-4,11,8,-4,1,5,9,0,1,-2,0,0,1.45,0,0,39,-30,16,11,12,34,5,0,0,-1,0,0,0,0.033333333,-6,-1,2,-2,2,-4,4,8,-6,0,0,-1,0,0,0,-0.8,16,0,21,-12,9,6,6,12,9,0,0,1,-2,0,0,0.166666667
Tyron Woodley,Stephen Thompson,1,0,Decision - Majority,5,5,5:00,5 Rnd (5-5-5-5-5),John McCarthy,Derek Cleary 47 - 48. Sal D'amato 47 - 47. Chris Lee 47 - 48.,UFC Welterweight Title Bout,0,0,-1,-6,-4,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,-8,-1,0,1,0,0,0,0,0,0,0,0,0,2,0,1,-1,4,-2,-1,-11,0,12,0,1,1,0,0,1.466666667,-1,0,-8,-17,-15,7,0,3,-4,-7,-1,0,0,0,0,-0.166666667,1,0,4,2,8,-2,-2,-7,4,7,1,0,0,0,0,0.166666667
Holly Holm,Germaine de Randamie,0,1,Decision - Unanimous,5,5,5:00,5 Rnd (5-5-5-5-5),Todd Ronald Anderson,Chris Lee 47 - 48. Sal D'amato 47 - 48. Jeff Mullen 47 - 48.,UFC Women's Featherweight Title Bout,-2,2,6,11,-1,-1,8,6,0,0,0,0,1,0,0,0.6,-2,-1,-6,2,-6,-4,4,-2,-4,0,0,0,2,0,0,2.083333333,-2,-1,2,1,-5,1,6,6,-4,0,0,0,2,0,0,-0.15,-14,0,-4,4,-7,3,0,-3,-1,0,0,0,1,0,0,-0.1,-4,-2,-1,9,2,-4,1,2,-3,0,0,0,1,0,0,2.6
Dominick Cruz,Cody Garbrandt,0,1,Decision - Unanimous,5,5,5:00,5 Rnd (5-5-5-5-5),John McCarthy,Derek Cleary 46 - 48. Tony Weeks 47 - 48. Jeff Mullen 46 - 48.,UFC Bantamweight Title Bout,0,0,8,4,4,1,3,9,-1,0,0,-1,2,0,0,-0.15,0,0,3,12,2,-4,5,3,0,0,0,0,2,0,0,0,0,0,3,21,0,0,3,4,-1,0,0,0,2,0,0,0,-7,0,5,-8,8,0,-3,5,0,0,0,0,-1,0,0,0,5,0,4,34,1,0,3,4,0,0,0,0,-2,0,0,-0.4
Demetrious Johnson,Tim Elliott,1,0,Decision - Unanimous,5,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Junichiro Kamijo 46 - 49. Jeff Mullen 46 - 49. Sal D'amato 45 - 49.,UFC Flyweight Title Bout,-9,-2,-5,0,-4,-3,2,1,-6,0,0,1,1,-2,0,-1,-10,-2,4,-6,2,0,2,2,1,1,0,0,0,0,0,3.883333333,-6,-5,-1,1,-2,-1,2,1,-2,0,0,0,0,1,0,2.533333333,15,0,5,5,4,0,1,0,0,5,0,1,-1,2,-1,0.233333333,-5,0,1,-3,1,0,0,0,0,1,0,-1,1,0,1,3.416666667
Tyron Woodley,Stephen Thompson,1,0,Decision - Majority,5,5,5:00,5 Rnd (5-5-5-5-5),Dan Miragliotta,Derek Cleary 47 - 47. Doug Crosby 47 - 47. Glenn Trowbridge 47 - 48.,UFC Welterweight Title Bout,31,4,13,1,8,6,-1,-1,0,14,0,1,0,0,0,2.933333333,9,1,-2,-7,-4,1,1,-4,2,0,0,0,0,0,0,1.083333333,0,0,-2,-13,1,-3,0,-2,0,0,0,0,0,0,0,0,11,1,19,-6,20,2,-3,-3,11,11,1,0,0,2,0,0.766666667,0,0,-13,-19,-9,-5,1,-13,0,0,0,0,0,0,0,0
Joanna Jedrzejczyk,Karolina Kowalkiewicz,1,0,Decision - Unanimous,5,5,5:00,5 Rnd (5-5-5-5-5),Keith Peterson,Cardo Urso 46 - 49. Jeff Mullen 46 - 49. Chris Lee 46 - 49.,UFC Women's Strawweight Title Bout,-1,0,21,1,1,8,12,18,3,0,0,0,0,0,0,-0.15,-1,1,21,10,7,2,12,17,4,0,0,0,-1,0,0,-0.6,-1,0,27,9,11,9,7,13,14,0,0,0,0,0,0,0.133333333,5,0,-4,-15,-10,6,0,-2,-2,0,0,1,0,0,0,-0.55,-2,0,38,1,17,6,15,28,10,0,0,0,0,0,0,1.15
